AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/10/27,00:00,7.37,17.1
2025/10/27,01:00,7.37,4.2
2025/10/27,02:00,7.37,0.6
2025/10/27,03:00,7.37,0.0
2025/10/27,04:00,7.36,0.0
2025/10/27,05:00,7.37,0.0
2025/10/27,06:00,7.37,0.0
2025/10/27,07:00,7.37,0.0
2025/10/27,08:00,7.37,0.3
2025/10/27,09:00,7.37,0.0
2025/10/27,10:00,7.37,0.0
2025/10/27,11:00,7.37,0.0
2025/10/27,12:00,7.37,0.0
2025/10/27,13:00,7.36,0.0
2025/10/27,14:00,7.37,0.0
2025/10/27,15:00,7.36,0.0
2025/10/27,16:00,7.36,0.0
2025/10/27,17:00,7.35,0.0
2025/10/27,18:00,7.35,0.0
2025/10/27,19:00,7.36,0.0
2025/10/27,20:00,7.36,0.0
2025/10/27,21:00,7.35,0.0
2025/10/27,22:00,7.36,0.0
2025/10/27,23:00,7.35,0.0
2025/10/28,00:00,7.35,0.0
2025/10/28,01:00,7.34,0.0
2025/10/28,02:00,7.34,0.0
2025/10/28,03:00,7.35,0.0
2025/10/28,04:00,7.35,0.0
2025/10/28,05:00,7.35,0.0
2025/10/28,06:00,7.34,0.0
2025/10/28,07:00,7.35,0.0
2025/10/28,09:00,7.35,0.0
2025/10/28,10:00,7.35,0.0
2025/10/28,11:00,7.34,0.0
2025/10/28,12:00,7.34,0.0
2025/10/28,13:00,7.36,0.0
2025/10/28,14:00,7.35,0.0
2025/10/28,15:00,7.35,0.0
2025/10/28,16:00,7.35,0.0
2025/10/28,17:00,7.35,0.0
2025/10/28,18:00,7.36,0.0
2025/10/28,19:00,7.38,0.0
2025/10/28,20:00,7.39,0.0
2025/10/28,21:00,7.37,0.0
2025/10/28,22:00,7.38,0.0
2025/10/28,23:00,7.39,0.0
2025/10/29,00:00,7.39,0.0
2025/10/29,01:00,7.40,0.0
2025/10/29,02:00,7.40,0.0
2025/10/29,03:00,7.41,0.0
2025/10/29,04:00,7.41,0.0
2025/10/29,05:00,7.42,0.0
2025/10/29,06:00,7.42,0.0
2025/10/29,07:00,7.43,0.0
2025/10/29,08:00,7.44,0.0
2025/10/29,09:00,7.43,0.0
2025/10/29,10:00,7.45,0.0
2025/10/29,11:00,7.45,0.0
2025/10/29,12:00,7.45,0.0
2025/10/29,13:00,7.45,0.0
2025/10/29,14:00,7.46,0.0
2025/10/29,15:00,7.46,0.0
2025/10/29,16:00,7.47,0.0
2025/10/29,17:00,7.47,0.0
2025/10/29,18:00,7.49,6.6
2025/10/29,19:00,7.48,2.7
2025/10/29,20:00,7.48,0.3
2025/10/29,21:00,7.49,0.0
2025/10/29,22:00,7.49,0.0
2025/10/29,23:00,7.50,0.0
2025/10/30,00:00,7.50,0.0
2025/10/30,01:00,7.50,0.0
2025/10/30,02:00,7.53,0.0
2025/10/30,03:00,7.52,0.0
2025/10/30,04:00,7.56,0.0
2025/10/30,05:00,7.52,0.0
2025/10/30,06:00,7.52,0.3
2025/10/30,07:00,7.53,0.0
2025/10/30,08:00,7.53,0.0
2025/10/30,09:00,7.54,0.0
2025/10/30,10:00,7.54,0.0
2025/10/30,11:00,7.55,0.0
2025/10/30,12:00,7.56,0.0
2025/10/30,13:00,7.56,0.0
2025/10/30,14:00,7.57,0.0
2025/10/30,15:00,7.57,0.0
2025/10/30,16:00,7.57,0.0
2025/10/30,17:00,7.57,0.0
2025/10/30,18:00,7.58,0.0
2025/10/30,19:00,7.58,0.0
2025/10/30,20:00,7.58,0.0
2025/10/30,21:00,7.58,0.0
2025/10/30,22:00,7.58,0.0
2025/10/30,23:00,7.59,0.0
2025/10/31,00:00,7.59,0.0
2025/10/31,01:00,7.59,0.0
2025/10/31,02:00,7.60,0.0
2025/10/31,03:00,7.59,0.0
2025/10/31,04:00,7.60,0.0
2025/10/31,05:00,7.60,0.0
2025/10/31,06:00,7.60,0.0
2025/10/31,07:00,7.60,0.0
2025/10/31,08:00,7.60,0.0
2025/10/31,09:00,7.60,0.0
2025/10/31,10:00,7.61,0.0
2025/10/31,11:00,7.61,0.0
2025/10/31,12:00,7.61,0.0
2025/10/31,13:00,7.61,0.0
2025/10/31,14:00,7.62,0.0
2025/10/31,15:00,7.62,0.0
2025/10/31,16:00,7.62,0.0
2025/10/31,17:00,7.62,0.0
2025/10/31,18:00,7.62,0.0
2025/10/31,19:00,7.61,0.0
2025/10/31,20:00,7.61,0.0
2025/10/31,21:00,7.61,0.0
2025/10/31,22:00,7.61,0.0
2025/10/31,23:00,7.62,0.0
